mag,inj,fat,loss,slat,slon,elat,elon,len,wid,TMAX,TMIN,PRCP,SNOW,tornado_occurrence,AWND,WSFI,WSFM,WSFG,WDFG,WSF1,WSF2,WSF5,WDF1,WDF2,WDF5,WDFI,WDFM,WT03,WT11,ACMH,hour,minute,year,month,day,day_of_week,is_weekend,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,part_of_day_Night,part_of_day_Morning,part_of_day_Afternoon,part_of_day_Evening
-1.0,-1.0,-1.0,-1.0,26.4598139748772,-103.2622795295544,26.4598139748772,-103.2622795295544,-1.0,-1.0,21.1,16.9,0.0,0.0,0.0,4.0,9.5,7.6,23.1,270.0,8.0,7.6,9.8,8.537257632140935,-14.477512185929932,-29.49870423110365,-22.665860554048905,-44.99999999999999,1.0,1.0,20.0,15,56,1978,8,31,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-1.0,-1.0,-1.0,-1.0,33.88200806814981,-101.2303206390699,33.88200806814981,-101.2303206390699,-1.0,-1.0,11.9,9.5,9.0,0.0,0.0,4.0,9.5,7.6,12.3,150.0,8.0,7.6,9.8,-14.794215510638448,-90.0,-20.0,48.59037789072914,25.528779365509305,1.0,0.0,50.0,4,54,1978,1,21,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1.0,-1.0,-1.0,-1.0,27.26250606579364,-94.604774783547,27.26250606579364,-94.604774783547,-1.0,-1.0,15.0,3.6,0.0,0.0,0.0,4.0,9.5,7.6,12.3,270.0,8.0,7.6,9.8,-33.9513586527906,50.0,50.0,59.4887853250453,-44.99999999999999,1.0,1.0,50.0,11,3,1959,6,7,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-1.0,-1.0,-1.0,-1.0,28.212586199759787,-103.5742818206186,28.212586199759787,-103.5742818206186,-1.0,-1.0,23.7,12.0,0.0,0.0,0.0,4.0,11.2,12.5,15.9,360.0,6.3,7.6,9.8,20.0,41.56076257015934,41.56076257015934,68.0,-90.0,1.0,1.0,40.0,22,41,2013,2,17,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.0,-1.0,-1.0,-1.0,30.62976755972623,-94.24550077134624,30.62976755972623,-94.24550077134624,-1.0,-1.0,24.6,8.5,0.0,0.0,0.0,2.6,6.7,7.6,3.1,90.0,8.0,5.4,7.2,-1.4033418597069754e-14,-30.243943354870865,-36.10756947474463,7.016709298534877e-15,90.0,1.0,1.0,50.0,20,0,1961,8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-1.0,-1.0,-1.0,-1.0,32.94101258818555,-102.40081366545068,32.94101258818555,-102.40081366545068,-1.0,-1.0,32.0,16.6,0.4,0.0,0.0,4.0,16.1,14.3,18.5,45.0,5.4,7.6,9.8,70.0,4.980925321928876,28.024320673604688,90.0,-1.4033418597069754e-14,1.0,1.0,100.0,17,47,1969,2,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.0,-1.0,-1.0,-1.0,34.88276103167506,-97.46839424449072,34.88276103167506,-97.46839424449072,-1.0,-1.0,14.5,4.3,2.0,0.0,0.0,4.0,9.5,7.6,13.9,270.0,8.0,7.6,9.8,54.11703619692414,-90.0,-19.207479725344147,9.529844400790264,-32.027760113815,1.0,1.0,50.0,21,6,1956,3,4,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.0,-1.0,-1.0,-1.0,36.47300350575774,-100.106594241734,36.47300350575774,-100.106594241734,-1.0,-1.0,18.1,6.7,0.0,0.0,0.0,1.3,16.8,7.6,0.0,140.0,8.0,4.0,5.4,-1.1518636894310357,-80.00000000000003,-80.00000000000003,-10.560412376525116,19.47122063449069,1.0,0.0,30.0,21,31,1970,5,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-1.0,-1.0,-1.0,-1.0,29.400702821555058,-101.15473213366012,29.400702821555058,-101.15473213366012,-1.0,-1.0,21.8,16.2,3.8,0.0,0.0,4.0,12.9,7.6,8.5,45.0,8.0,5.4,16.5,90.0,-51.54318937358855,-56.44269023807929,5.373718954986923,44.99999999999999,1.0,1.0,50.0,23,58,1987,3,15,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.0,-1.0,-1.0,-1.0,30.45818393022557,-105.8091305961148,30.45818393022557,-105.8091305961148,-1.0,-1.0,31.6,18.6,0.0,0.0,0.0,4.0,24.6,11.6,14.9,180.0,11.2,7.6,9.8,52.30155366912356,-10.887496279700576,-13.587093080720477,-32.027760113815006,58.60028519008095,1.0,0.0,50.0,16,48,1963,4,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
