mag,inj,fat,loss,slat,slon,elat,elon,len,wid,TMAX,TMIN,PRCP,SNOW,tornado_occurrence,AWND,WSFI,WSFM,WSFG,WDFG,WSF1,WSF2,WSF5,WDF1,WDF2,WDF5,WDFI,WDFM,WT03,WT11,ACMH,hour,minute,year,month,day,day_of_week,is_weekend,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,part_of_day_Night,part_of_day_Morning,part_of_day_Afternoon,part_of_day_Evening
0.0,0.0,0.0,98179.65297336066,35.73,-102.36,35.75,-102.33,1.73,50.0,20.8,13.0,3.4,0.0,1.0,4.2,1.8,7.6,10.8,90.0,8.0,7.6,11.2,40.000000000000014,-70.00000000000003,-50.000000000000014,68.0,-45.00000000000001,1.0,1.0,60.0,14,29,2008,5,25,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,29.3,-100.3,0.0,0.0,0.1,10.0,30.8,11.2,0.0,0.0,1.0,4.7,13.9,5.4,7.2,90.0,9.4,9.4,11.2,10.0,-20.0,-20.0,67.00000000000001,7.016709298534877e-15,1.0,0.0,90.0,23,25,1973,3,23,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,98179.65297336066,36.07,-102.52,0.0,0.0,2.0,30.0,14.5,6.5,5.2,0.0,1.0,4.7,9.4,12.1,13.9,90.0,8.0,9.4,11.2,-40.00000000000002,-20.0,-20.0,44.99999999999999,45.00000000000001,1.0,0.0,40.0,18,30,1978,5,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,0.0,0.0,1000000.0,27.4664,-97.8316,27.475,-97.8666,2.25,400.0,18.0,2.0,0.0,0.0,1.0,2.4,7.5,7.6,37.0,32.0,8.0,10.7,13.0,40.000000000000014,-79.99999999999999,-80.00000000000003,68.0,-45.00000000000001,1.0,1.0,60.0,17,41,2016,5,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,98179.65297336066,35.7,-100.862,35.7,-100.858,0.25,100.0,22.0,1.2,0.0,0.0,1.0,5.4,4.4,7.6,10.8,90.0,8.0,13.4,17.4,40.000000000000014,7.016709298534877e-15,-19.999999999999996,68.0,-45.00000000000001,1.0,1.0,60.0,15,45,2009,5,15,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,500.0,29.3104,-94.7699,29.3122,-94.77,0.12,20.0,19.3,5.2,0.0,0.0,1.0,4.0,8.7,7.6,0.0,0.0,8.0,5.8,7.2,40.000000000000014,-49.99999999999999,-59.99999999999997,68.0,-45.00000000000001,1.0,1.0,60.0,13,18,2017,8,25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2.0,0.0,0.0,500000.0,33.05,-98.07,0.0,0.0,2.0,10.0,19.4,11.2,0.0,0.0,1.0,4.7,11.6,11.2,12.9,40.0,9.4,9.4,11.2,-10.000000000000057,-20.0,-20.0,44.99999999999999,-44.99999999999999,1.0,0.0,40.0,17,30,1965,4,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.0,30000.0,30.07,-94.8,30.07,-94.8,0.3,30.0,19.0,11.4,0.2,0.0,1.0,3.6,9.3,7.6,13.0,180.0,8.0,9.8,11.2,40.000000000000014,70.0,70.0,68.0,-45.00000000000001,1.0,1.0,100.0,22,18,2002,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.0,0.0,0.0,98179.65297336066,32.3,-95.08,0.0,0.0,0.1,10.0,19.5,9.0,0.0,0.0,1.0,4.7,10.3,8.0,10.3,360.0,9.8,9.4,11.2,-30.00000000000001,-20.0,-20.0,-90.0,-1.4033418597069754e-14,1.0,0.0,50.0,19,10,1978,5,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.0,75000.0,33.57,-101.89,33.58,-101.88,0.75,40.0,20.2,9.0,0.0,0.0,1.0,4.3,7.9,7.6,10.8,90.0,8.0,11.2,10.7,40.000000000000014,-90.0,-90.0,68.0,-45.00000000000001,1.0,1.0,60.0,13,0,2007,4,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
